spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-24.012,-21.7767,-137.565,-52.3183,-44.9956,-321.886,-127.747,-114.992,-842.6,-2.58698,25.5309
-24.012,-21.7767,-137.565,-52.3183,-44.9956,-321.886,-110.041,-99.2217,-722.6,-2.90499,25.5309
-52.3183,-44.9956,-321.886,-110.041,-99.2217,-722.6,-127.747,-114.992,-842.6,-5.65946,27.0768
-52.3183,-44.9956,-321.886,-95.3161,-86.0172,-622.6,-127.747,-114.992,-842.6,-6.37221,27.0827
-50.8829,-46.1221,-320.743,-95.3161,-86.0172,-622.6,-127.747,-114.992,-842.6,-0.114548,26.4036
-24.012,-21.7767,-137.565,-50.8829,-46.1221,-320.743,-127.747,-114.992,-842.6,399.928,26.1982
-24.012,-21.7767,-137.565,-50.8829,-46.1221,-320.743,-110.041,-99.2217,-722.6,399.927,26.1982
-24.012,-21.7767,-137.565,-50.8829,-46.1221,-320.743,-95.3161,-86.0172,-622.6,399.912,26.1982
34.0179,-60.0109,-30.1348,55.9951,-99.0888,-66.8096,83.62,-148.492,-113.131,-0.0439894,26.2934
19.882,25.0179,-33.7581,42.0732,53.0359,-100.934,70.4905,89.0862,-187.227,199.991,26.3028
19.882,25.0179,-33.7581,42.0732,53.0359,-100.934,71.5851,90.4402,-190.496,199.996,26.3028
19.882,25.0179,-33.7581,42.0732,53.0359,-100.934,105.22,133.357,-292.948,199.996,26.3028
19.882,25.0179,-33.7581,42.9599,54.1224,-103.56,70.4905,89.0862,-187.227,199.943,26.2946
19.882,25.0179,-33.7581,42.9599,54.1224,-103.56,71.5851,90.4402,-190.496,199.957,26.2946
19.882,25.0179,-33.7581,42.9599,54.1224,-103.56,105.22,133.357,-292.948,199.964,26.2946
17.8042,26.6486,60.3889,37.8309,56.7216,98.8518,63.1327,94.8854,147.585,199.993,26.2716
17.8042,26.6486,60.3889,37.8309,56.7216,98.8518,93.8379,141.554,207.006,199.985,26.2716
18.6887,27.955,62.0752,37.8309,56.7216,98.8518,63.1327,94.8854,147.585,199.977,26.285
18.6887,27.955,62.0752,37.8309,56.7216,98.8518,93.8379,141.554,207.006,199.989,26.285
19.882,25.0179,-33.7581,70.4905,89.0862,-187.227,105.22,133.357,-292.948,-0.00568794,26.3098
42.0732,53.0359,-100.934,70.4905,89.0862,-187.227,105.22,133.357,-292.948,-0.032935,26.3292
42.9599,54.1224,-103.56,70.4905,89.0862,-187.227,105.22,133.357,-292.948,-0.129267,26.3547
19.882,25.0179,-33.7581,71.5851,90.4402,-190.496,105.22,133.357,-292.948,-0.0220157,26.3084
42.0732,53.0359,-100.934,71.5851,90.4402,-190.496,105.22,133.357,-292.948,-0.0703514,26.3236
42.9599,54.1224,-103.56,71.5851,90.4402,-190.496,105.22,133.357,-292.948,-0.0184387,26.3483
17.8042,26.6486,60.3889,63.1327,94.8854,147.585,93.8379,141.554,207.006,-0.0320166,26.276
18.6887,27.955,62.0752,63.1327,94.8854,147.585,93.8379,141.554,207.006,-0.014656,26.2859
37.8309,56.7216,98.8518,63.1327,94.8854,147.585,93.8379,141.554,207.006,-0.0799197,26.2881

Event: 1
-27.8044,-18.8005,-48.1722,-94.8631,-63.8603,-127.729,-140.929,-94.5309,-182.263,-0.022327,-15.1212
-26.569,-17.945,-46.6888,-94.8631,-63.8603,-127.729,-140.929,-94.5309,-182.263,-0.0517389,-15.1158
-56.4949,-38.1164,-82.234,-94.8631,-63.8603,-127.729,-140.929,-94.5309,-182.263,-0.0999275,-15.13
-27.8044,-18.8005,-48.1722,-56.4949,-38.1164,-82.234,-94.8631,-63.8603,-127.729,199.977,-15.1177
-27.8044,-18.8005,-48.1722,-56.4949,-38.1164,-82.234,-140.929,-94.5309,-182.263,199.992,-15.1177
-26.569,-17.945,-46.6888,-56.4949,-38.1164,-82.234,-94.8631,-63.8603,-127.729,199.974,-15.1106
-26.569,-17.945,-46.6888,-56.4949,-38.1164,-82.234,-140.929,-94.5309,-182.263,199.966,-15.1106
-18.8593,-25.8205,-43.1266,-40.5515,-55.3429,-75.2078,-67.8891,-92.3839,-115.519,199.965,-15.1264
-18.8593,-25.8205,-43.1266,-40.5515,-55.3429,-75.2078,-101.45,-137.551,-164.796,199.97,-15.1264
-20.1429,-27.5483,-44.9944,-40.5515,-55.3429,-75.2078,-67.8891,-92.3839,-115.519,199.997,-15.0926
-20.1429,-27.5483,-44.9944,-40.5515,-55.3429,-75.2078,-101.45,-137.551,-164.796,199.996,-15.0926
-18.8593,-25.8205,-43.1266,-67.8891,-92.3839,-115.519,-101.45,-137.551,-164.796,-0.018876,-15.1279
-20.1429,-27.5483,-44.9944,-67.8891,-92.3839,-115.519,-101.45,-137.551,-164.796,-0.00597013,-15.1038
-40.5515,-55.3429,-75.2078,-67.8891,-92.3839,-115.519,-101.45,-137.551,-164.796,-0.0116917,-15.1319
20.7581,-25.31,-12.425,42.9739,-52.3278,-9.56085,72.9643,-88.5755,-5.675,199.959,-15.1053
20.7581,-25.31,-12.425,42.9739,-52.3278,-9.56085,108.333,-131.101,-1.125,199.97,-15.1053
20.7581,-25.31,-12.425,44.0038,-53.5821,-9.425,72.9643,-88.5755,-5.675,199.952,-15.108
20.7581,-25.31,-12.425,44.0038,-53.5821,-9.425,108.333,-131.101,-1.125,199.965,-15.108
20.7581,-25.31,-12.425,72.9643,-88.5755,-5.675,108.333,-131.101,-1.125,-0.00704246,-15.1187
42.9739,-52.3278,-9.56085,72.9643,-88.5755,-5.675,108.333,-131.101,-1.125,-0.0527884,-15.1537
44.0038,-53.5821,-9.425,72.9643,-88.5755,-5.675,108.333,-131.101,-1.125,-0.0707661,-15.1491
-0.856208,32.0837,19.1192,-1.74531,67.9765,57.4437,-2.78776,113.851,106.416,199.993,-15.1398
-0.856208,32.0837,19.1192,-1.74531,67.9765,57.4437,-3.89904,170.526,166.879,199.998,-15.1398
-0.856208,32.0837,19.1192,-2.78776,113.851,106.416,-3.89904,170.526,166.879,-0.00764835,-15.1369
-1.74531,67.9765,57.4437,-2.78776,113.851,106.416,-3.89904,170.526,166.879,-0.0346093,-15.129

Event: 2
-25.31,-20.7581,-69.775,-52.2952,-43.0118,-76.225,-88.5104,-73.022,-84.875,199.976,-63.7388
-25.31,-20.7581,-69.775,-52.2952,-43.0118,-76.225,-130.494,-108.037,-94.925,199.978,-63.7388
-25.31,-20.7581,-69.775,-52.2952,-43.0118,-76.225,-131.682,-109.044,-95.225,199.979,-63.7388
-25.31,-20.7581,-69.775,-53.5279,-44.0463,-76.525,-88.5104,-73.022,-84.875,199.949,-63.7359
-25.31,-20.7581,-69.775,-53.5279,-44.0463,-76.525,-130.494,-108.037,-94.925,199.96,-63.7359
-25.31,-20.7581,-69.775,-53.5279,-44.0463,-76.525,-131.682,-109.044,-95.225,199.961,-63.7359
-25.31,-20.7581,-69.775,-88.5104,-73.022,-84.875,-130.494,-108.037,-94.925,-0.0180872,-63.7481
-25.31,-20.7581,-69.775,-88.5104,-73.022,-84.875,-131.682,-109.044,-95.225,-0.0132458,-63.7481
-52.2952,-43.0118,-76.225,-88.5104,-73.022,-84.875,-130.494,-108.037,-94.925,-0.0076106,-63.7722
-52.2952,-43.0118,-76.225,-88.5104,-73.022,-84.875,-131.682,-109.044,-95.225,-0.00573332,-63.7722
-53.5279,-44.0463,-76.525,-88.5104,-73.022,-84.875,-130.494,-108.037,-94.925,-0.0450535,-63.7824
-53.5279,-44.0463,-76.525,-88.5104,-73.022,-84.875,-131.682,-109.044,-95.225,-0.0586008,-63.7824
-3.31801,-32.587,-62.975,-6.9512,-69.0251,-62.125,-11.3058,-113.356,-61.075,199.973,-63.7353
